timestamp,temperature.gpu,utilization.gpu,utilization.memory,clocks.sm,clocks.gr,power.draw,pstate,clocks_event_reasons.active
# start 2026-08-28 09:32:10 PDT
2026/08/28 09:32:10.551, 53, 0, 0, 2411, 2411, 12.80, P0, 0x0000000000000000
2026/08/28 09:32:10.658, 53, 0, 0, 2411, 2411, 12.80, P0, 0x0000000000000000
2026/08/28 09:32:10.759, 53, 0, 0, 2411, 2411, 12.80, P0, 0x0000000000000000
2026/08/28 09:32:10.859, 53, 0, 0, 2411, 2411, 12.80, P0, 0x0000000000000000
2026/08/28 09:32:10.959, 53, 0, 0, 2411, 2411, 12.80, P0, 0x0000000000000000
2026/08/28 09:32:11.059, 53, 0, 0, 2411, 2411, 12.84, P0, 0x0000000000000000
2026/08/28 09:32:11.159, 53, 0, 0, 2411, 2411, 12.84, P0, 0x0000000000000000
2026/08/28 09:32:11.259, 53, 0, 0, 2411, 2411, 12.84, P0, 0x0000000000000000
2026/08/28 09:32:11.359, 53, 0, 0, 2411, 2411, 12.84, P0, 0x0000000000000000
2026/08/28 09:32:11.459, 53, 0, 0, 2411, 2411, 12.84, P0, 0x0000000000000000
2026/08/28 09:32:11.560, 53, 0, 0, 2411, 2411, 12.85, P0, 0x0000000000000000
2026/08/28 09:32:11.660, 53, 0, 0, 2411, 2411, 12.85, P0, 0x0000000000000000
2026/08/28 09:32:11.760, 53, 0, 0, 2411, 2411, 12.85, P0, 0x0000000000000000
2026/08/28 09:32:11.860, 53, 0, 0, 2411, 2411, 12.85, P0, 0x0000000000000000
2026/08/28 09:32:11.960, 53, 0, 0, 2411, 2411, 12.85, P0, 0x0000000000000000
2026/08/28 09:32:12.060, 53, 0, 0, 2411, 2411, 12.82, P0, 0x0000000000000000
2026/08/28 09:32:12.160, 53, 0, 0, 2411, 2411, 12.82, P0, 0x0000000000000000
2026/08/28 09:32:12.260, 53, 0, 0, 2411, 2411, 12.82, P0, 0x0000000000000000
2026/08/28 09:32:12.361, 53, 0, 0, 2411, 2411, 12.82, P0, 0x0000000000000000
2026/08/28 09:32:12.461, 53, 0, 0, 2411, 2411, 12.82, P0, 0x0000000000000000
2026/08/28 09:32:12.561, 53, 0, 0, 2411, 2411, 12.79, P0, 0x0000000000000000
2026/08/28 09:32:12.661, 53, 0, 0, 2411, 2411, 12.79, P0, 0x0000000000000000
2026/08/28 09:32:12.761, 53, 0, 0, 2411, 2411, 12.79, P0, 0x0000000000000000
2026/08/28 09:32:12.861, 53, 0, 0, 2411, 2411, 12.79, P0, 0x0000000000000000
2026/08/28 09:32:12.961, 53, 0, 0, 2411, 2411, 12.79, P0, 0x0000000000000000
2026/08/28 09:32:13.062, 53, 0, 0, 2411, 2411, 12.78, P0, 0x0000000000000000
2026/08/28 09:32:13.162, 53, 0, 0, 2411, 2411, 12.78, P0, 0x0000000000000000
2026/08/28 09:32:13.262, 53, 0, 0, 2411, 2411, 12.78, P0, 0x0000000000000000
2026/08/28 09:32:13.362, 53, 0, 0, 2411, 2411, 12.78, P0, 0x0000000000000000
2026/08/28 09:32:13.462, 53, 0, 0, 2411, 2411, 12.78, P0, 0x0000000000000000
2026/08/28 09:32:13.562, 53, 0, 0, 2411, 2411, 12.77, P0, 0x0000000000000000
2026/08/28 09:32:13.662, 53, 0, 0, 2411, 2411, 12.77, P0, 0x0000000000000000
2026/08/28 09:32:13.762, 53, 0, 0, 2411, 2411, 12.77, P0, 0x0000000000000000
2026/08/28 09:32:13.863, 53, 0, 0, 2411, 2411, 12.77, P0, 0x0000000000000000
2026/08/28 09:32:13.963, 53, 0, 0, 2411, 2411, 12.77, P0, 0x0000000000000000
2026/08/28 09:32:14.063, 53, 0, 0, 2411, 2411, 12.82, P0, 0x0000000000000000
